source,target,value,level,colorS,colorT
138,165,3,1,#e92e2e,#f24d2a
67,108,1,1,#ec2724,#ea2e2e
38,63,9,1,#d6aa9c,#c2da67
99,129,11,1,#bede65,#c6e058
63,99,10,1,#c2da67,#bede65
38,61,16,1,#d6aa9c,#e68c67
61,102,6,1,#e68c67,#d65f69
59,89,12,1,#4d92b6,#44a59e
89,128,10,1,#44a59e,#40bf70
37,59,5,1,#4551e0,#4d92b6
134,172,1,1,#f1bd42,#fca63a
103,139,3,1,#fe9927,#fba728
139,164,4,1,#fba728,#fe9624
39,55,12,1,#f2c931,#fd9c2b
197,218,3,1,#fca63a,#fd9e2f
139,172,2,1,#fba728,#fca63a
55,103,5,1,#fd9c2b,#fe9927
172,197,1,1,#fca63a,#fca63a
64,89,5,1,#39bd69,#44a59e
50,64,2,1,#36c25e,#39bd69
16,50,1,1,#37b472,#36c25e
142,157,3,1,#2328dd,#2328dd
48,66,2,1,#1f2dd7,#2328dd
88,142,4,1,#2328dc,#2328dd
220,233,4,1,#2328dd,#2328dd
15,48,4,1,#4051e2,#1f2dd7
66,88,4,1,#2328dd,#2328dc
181,220,4,1,#2428dd,#2328dd
37,66,7,1,#4551e0,#2328dd
157,181,4,1,#2328dd,#2428dd
29,44,2,1,#aa58ab,#ad4899
107,137,7,1,#9a2e9e,#9b38a7
44,58,1,1,#ad4899,#ad4899
58,107,3,1,#ad4899,#9a2e9e
137,152,13,1,#9b38a7,#7a32c1
42,71,3,1,#5ac876,#5bca74
128,153,4,1,#40bf70,#5cc975
130,153,1,1,#66db5f,#5cc975
71,98,1,1,#5bca74,#66da60
71,89,7,1,#5bca74,#44a59e
70,98,2,1,#6bf631,#66da60
153,187,3,1,#5cc975,#5dcb74
23,42,6,1,#5ddd59,#5ac876
187,210,7,1,#5dcb74,#49cc69
98,130,1,1,#66da60,#66db5f
17,41,12,1,#b6f643,#acfd2f
41,65,6,1,#acfd2f,#acfd2f
92,125,3,1,#9dfe27,#9cfe28
125,168,3,1,#9cfe28,#b5fb2e
65,92,4,1,#acfd2f,#9dfe27
54,81,9,0,#51f134,#51f134
81,114,6,0,#51f134,#49ec35
12,36,3,0,#c7acc1,#75f924
33,54,6,0,#45d457,#51f134
114,145,16,0,#49ec35,#5f87be
36,54,3,0,#75f924,#51f134
12,33,31,0,#c7acc1,#45d457
33,51,27,0,#45d457,#3e71cd
175,202,137,0,#afa4c2,#6374c7
80,113,27,0,#e3bf5a,#6076c7
113,145,116,0,#6076c7,#5f87be
32,51,49,0,#4051e2,#3e71cd
12,32,61,0,#c7acc1,#4051e2
84,113,61,0,#404de4,#6076c7
145,175,128,0,#5f87be,#afa4c2
202,225,107,0,#6374c7,#5e85bf
225,250,126,0,#5e85bf,#6a8abe
51,84,55,0,#3e71cd,#404de4
11,31,2,1,#9e238b,#af1e70
31,43,4,1,#af1e70,#c82558
